Name,gas capacity,coal plant capacity,bioenergy plant capacity,coal mine capacity,steel plant capacity,ID,Entity Type,Legal Entity Type,PubliclyListed,Country
Government of Equatorial Guinea,218.0,0.0,0.0,0.0,0.0,E100001012015,state,,,
Government of Eritrea,134.0,0.0,0.0,0.0,0.0,E100001011878,state,,,
Government of Estonia,21600.0,0.0,0.0,0.0,0.0,E100001011117,state,,,
Government of Ethiopia,0.0,0.0,13600.0,0.0,0.0,E100001010582,state,,,
Government of Finland,91852.47040799998,45067.18141899999,0.0,0.0,82950.0,E100000001640,state,,,
Government of France,3015858.587771724,167648.76198100002,29672.925175,0.0,0.0,E100001000079,state,,,France
Government of Georgia,101770.0,0.0,0.0,0.0,0.0,E100001000267,state,,,Georgia
Government of German Federal States,4500.0,0.0,0.0,0.0,0.0,E100001000254,state,,,Germany
Government of Germany,863920.3295999998,445247.04000000004,0.0,0.0,0.0,E100001000253,state,,,Germany
Government of Guinea,54.05460377832,0.0,0.0,0.0,0.0,E100001011738,state,,,
Government of Guyana,30000.0,0.0,0.0,0.0,0.0,E100001011408,state,,,
Government of Hungary,138874.4,88400.0,0.0,0.0,0.0,E100001000264,state,,,Hungary
Government of India,12477.213733094151,1839606.7778656508,0.0,8070.006971880628,3233.6252050000003,E100001000397,state,,,India
Government of Indonesia,2111767.825720001,1960106.0884999998,0.0,0.0,19380.0,E100001000084,state,,,Indonesia
Government of Iran,3946540.033333334,65000.0,0.0,0.0,1044232.0,E100001000255,state,,,Iran
Government of Iraq,5130410.0,0.0,0.0,0.0,50000.0,E100001000278,state,,,Iraq
Government of Ireland,42741.85364,2836.5,0.0,0.0,0.0,E100001000023,state,,,
Government of Israel,857911.2,431851.25,0.0,0.0,0.0,E100001000284,state,,,Israel
Government of Italy,158177.8741476401,0.0,0.0,0.0,0.0,E100001016677,state,,,
Government of Jamaica,228.076316,0.0,0.0,0.0,0.0,E100000000627,state,,,Jamaica
Government of Japan,20775.0,0.0,0.0,0.0,0.0,E100001011136,state,,,
Government of Jordan,152107.60764605,0.0,0.0,0.0,0.0,E100000000665,state,,,Jordan
Government of Kazakhstan,313512.8464872,759900.0,0.0,12.728231703,600000.0,E100001000197,state,,,Kazakhstan
Government of Kuwait,3774555.37,0.0,0.0,0.0,6729.3580352,E100001000210,state,,,Kuwait
Government of Kyrgyzstan,6304.82,10723.47,0.0,118.0,0.0,E100000131639,state,,,
Government of Laos,0.0,37304.0,0.0,0.0,0.0,E100001010889,state,,,
Government of Lebanon,757260.0,0.0,0.0,0.0,0.0,E100001000319,state,,,Lebanon
Government of Libya,2293645.0,0.0,0.0,0.0,161100.0,E100001000279,state,,,Libya
Government of Macao,1714.4,0.0,0.0,0.0,0.0,E100000000695,state,,,
Government of Malawi,102.17,0.0,0.0,0.0,0.0,E100000120511,state,,,
Government of Malaysia,278656.0781,82651.2548068,0.0,0.0,0.0,E100001010643,state,,,
Government of Maldives,5000.0,0.0,0.0,0.0,0.0,E100001011219,state,,,
Government of Malta,7351.876,0.0,0.0,0.0,0.0,E100001011120,state,,,
Government of Mauritania,30034.499277119998,0.0,0.0,0.0,0.0,E100001000087,state,,,Mauritania
Government of Mauritius,45600.0,2.779166666666667,0.0,0.0,0.0,E100001011526,state,,,
Government of Mexico,3128590.0,537800.0,0.0,0.0,0.0,E100001000081,state,,,Mexico
Government of Moldova,0.0,0.0,0.0,0.0,100000.0,E100001012481,state,,,
Government of Mongolia,0.0,41100.0,0.0,320.0,0.0,E100001010879,state,,,
Government of Montenegro,8632.725,2458.6875,0.0,6.5565,0.0,E100001000154,state,,,Montenegro
Government of Morocco,527348.9283414714,30175.0,0.0,0.0,0.0,E100001000107,state,,,Morocco
Government of Mozambique,20150.0,0.0,0.0,0.0,0.0,E100001000151,state,,,Mozambique
Government of Myanmar,79168.0,0.0,0.0,0.0,0.0,E100001000258,state,,,Myanmar
Government of Namibia,52450.0,12000.0,0.0,0.0,0.0,E100000133656,state,,,
Government of New Zealand,23154.0,38250.0,0.0,0.0,0.0,E100001011282,state,,,
Government of Nigeria,263956.6666666666,0.0,0.0,0.0,130000.0,E100001000296,state,,,Nigeria
Government of North Korea,0.0,0.0,0.0,400.0,0.0,E100001000599,state,,,
Government of North Macedonia,11198.0,82400.0,0.0,0.0,0.0,E100001011283,state,,,
Government of Norway,49400.822997592,0.0,0.0,0.0,0.0,E100001000085,state,,,Norway
Government of Oman,258858.82582132999,0.0,0.0,0.0,6729.3580352,E100000000777,state,,,Oman
Government of Pakistan,728111.2,132000.0,0.0,0.0,0.0,E100001000370,state,,,Pakistan
Government of Panama,3865.7559300000003,0.0,0.0,0.0,0.0,E100001000194,state,,,Panama
Government of Papua New Guinea,227.0,0.0,0.0,0.0,0.0,E100001011705,state,,,
Government of Peru,5730.0,0.0,0.0,0.0,0.0,E100001010518,state,,,
Government of Poland,4260.008166,26419.325976000007,241.62984,0.0,0.0,E100001010777,state,,,
Government of Portugal,70.2513,0.0,0.0,0.0,0.0,E100001016651,state,,,
Government of Qatar,328498.74354802445,86699.48390666312,6407.31,1032.234277133,262726.9180352,E100000000839,state,,,Qatar
Government of Romania,69950.0916,35723.329000000005,0.0,49.37776,0.0,E100000000851,state,,,Romania
Government of Russia,2595195.7467629863,457374.37494908343,0.0,52.739999999999995,0.0,E100001000094,state,,,Russia
Government of Saskatchewan (Canada),163520.0,148300.0,0.0,0.0,0.0,E100001015377,state,,,
Government of Saudi Arabia,6114572.445333369,0.0,0.0,0.06377615999999998,733444.3580352,E100001000198,state,,,Saudi Arabia
Government of Senegal,15383.333333333334,83.33333333333333,0.0,0.0,0.0,E100001000024,state,,,Senegal
Government of Seychelles,109.0,0.0,0.0,0.0,0.0,E100001011779,state,,,
Government of Slovakia,1075.8439999999998,0.0,0.0,0.0,0.0,E100001000243,state,,,Slovakia
Government of Slovenia,42100.0,94500.0,0.0,0.0,52431.72,E100001000263,state,,,Slovenia
Government of Solomon Islands,27.0,0.0,0.0,0.0,0.0,E100001011727,state,,,
Government of South Africa,548101.8839615,4453180.0,0.0,735.1925816747998,707.7373617600001,E100001000088,state,,,South Africa
Government of South Korea,691390.9327308958,623353.9234000002,6461.0,51.0,0.0,E100000000962,state,,,South Korea
Government of Spain,0.0,0.0,0.0,0.0,0.0,E100001016740,state,,,
Government of Sri Lanka,0.0,0.0,0.0,0.0,60000.0,E100001000099,state,,,Sri Lanka
Government of Suriname,12600.0,0.0,0.0,0.0,0.0,E100001010513,state,,,
Government of Sweden,409196.84375,163300.0,3500.0,0.0,82950.0,E100001000082,state,,,Sweden
Government of Syria,1435606.0,0.0,0.0,0.0,0.0,E100001000282,state,,,Syria
Government of Taiwan,3595835.904,1161327.68,54800.0,0.0,0.0,E100001000277,state,,,Taiwan
Government of Tajikistan,20600.0,100000.0,0.0,0.0,0.0,E100001010964,state,,,
Government of Thailand,1953424.1690218002,384800.6272000001,0.0,0.0,0.0,E100001000153,state,,,Thailand
Government of Trinidad and Tobago,79206.99283999999,0.0,0.0,0.0,0.0,E100001000265,state,,,Trinidad and Tobago
Government of Tunisia,619100.0,0.0,0.0,0.0,0.0,E100001000295,state,,,Tunisia
Government of Turkmenistan,852100.0,0.0,0.0,0.0,0.0,E100001000293,state,,,Turkmenistan
Government of Türkiye,491700.0,445698.5,0.0,3110.0,0.0,E100001000318,state,,,Türkiye
Government of Uganda,50.0,0.0,0.0,0.0,0.0,E100001011754,state,,,
Government of Ukraine,0.0,0.0,0.0,285.0,0.0,E100001000269,state,,,Ukraine
Government of United Arab Emirates,29681.370000000003,0.0,0.0,0.0,6729.3580352,E100001000211,state,,,United Arab Emirates
Government of United Kingdom,15500.0,0.0,0.0,0.0,0.0,E100001000339,state,,,United Kingdom
Government of United States,1660390.0,713020.0,0.0,0.0,0.0,E100001000266,state,,,United States
Government of Uruguay,113200.0,0.0,0.0,0.0,0.0,E100001011277,state,,,
Government of Uzbekistan,0.0,0.0,0.0,0.0,115000.0,E100001010426,state,,,
Government of Venezuela,483876.7,0.0,0.0,127.6234208,0.0,E100001000281,state,,,
Government of Vietnam,1449481.7,1568077.49,0.0,165.87019999999998,0.0,E100001000204,state,,,Vietnam
Government of Zimbabwe,0.0,177000.0,0.0,26.747999999999998,0.0,E100001000923,state,,,Zimbabwe
Government of the Federation of Bosnia and Herzegovina,0.0,11424.0,480.0,0.0,0.0,E100001000534,state,,,Bosnia and Herzegovina
Government of the Kingdom of Eswatini,0.0,0.0,0.0,12.0,0.0,E100000131641,state,,,
Government of the Philippines,65000.0,0.0,0.0,0.0,0.0,E100001012818,state,,,
Government of the Republic of Kosovo,0.0,129000.0,0.0,0.0,0.0,E100001011482,state,,,
Government of the Republic of Liberia,38.0,0.0,0.0,0.0,0.0,E100001011887,state,,,
Government of the Republic of Serbia,5656.5054,478500.0,0.0,1580.0,0.0,E100000000898,state,,,Serbia
Government of the Republic of Zambia,0.0,2090.4,0.0,1.3936000000000002,0.0,E100001010759,state,,,
Governments of States of Nigeria,263956.6666666666,0.0,0.0,0.0,0.0,E100001000297,state,,,
Grady Electric Membership,3965.0,0.0,0.0,0.0,0.0,E100000001227,legal entity,Corp,,United States
Grady Holding,3965.0,0.0,0.0,0.0,0.0,E100000001228,legal entity,,,United States
Grafito,0.0,17250.0,0.0,0.0,0.0,E100000120516,legal entity,,False,Brazil
GranBio Investimentos,0.0,0.0,3100.0,0.0,0.0,E100001011039,legal entity,SA,False,Brazil
Grand Bahama Power,3.62505,0.0,0.0,0.0,0.0,E100000001494,legal entity,Co,,
Grand Nation Investment,3666.0,0.0,0.0,0.0,0.0,E100000001495,legal entity,Co Ltd,,
Grand Royal,0.0,0.0,0.0,0.0,16026.286552499998,E100000130585,legal entity,Co Ltd,,
Grandbridge Energy,0.0,0.0,0.0,0.0,0.0,E100001013307,legal entity,Inc,False,Canada
Granite Ridge Energy,79000.0,0.0,0.0,0.0,0.0,E100000003110,legal entity,LLC,,
Granite Shore Power,18009.0,23890.2,2175.0,0.0,0.0,E100000003111,legal entity,LLC,False,United States
Granotex Ventures,0.0,0.0,0.0,0.0,10180.0,E100001016263,legal entity,Ltd,,Cyprus
Grasim Industries,190.40200000000002,1501.2874,0.0,8.0349644,0.0,E100000120517,legal entity,Ltd,True,India
GravitHy,0.0,0.0,0.0,0.0,0.0,E100001012048,legal entity,,False,
Grays Ferry Cogeneration Partnership,50.393265,0.0,0.0,0.0,0.0,E100000003112,legal entity,,,
Great Lakes Energy Cooperative,15880.0,0.0,0.0,0.0,0.0,E100002000135,legal entity,Inc,False,United States
Great River Energy,0.0,121000.0,0.0,0.0,0.0,E100000002262,legal entity,Cooperative,False,United States
Green & Clean Holdings,0.0,0.0,0.0,0.0,57200.0,E100001012114,legal entity,LLC,,United States
Green Coal Electricity,0.0,1.3481839800000002,0.0,0.0,0.0,E100000123498,legal entity,Co Ltd,,China
Green Country OP Services,1090.824,0.0,0.0,0.0,0.0,E100000003114,legal entity,LLC,,
Green Esteel,0.0,0.0,0.0,0.0,0.0,E100000131050,legal entity,Pte Ltd,False,Singapore
Green Fuels Energy,0.0,0.0,11600.0,0.0,0.0,E100001011059,legal entity,LLC,False,United States
Green Steel of WA,0.0,0.0,0.0,0.0,0.0,E100001012187,legal entity,Pty Ltd,False,Australia
Greenalia,0.0,0.0,600.0,0.0,0.0,E100001000143,legal entity,SA,False,Spain
Greenbrier Minerals,0.0,0.0,0.0,0.0,0.0,E100001013336,legal entity,LLC,False,United States
Greencoat Capital,0.0,0.0,9150.0,0.0,0.0,E100001000173,legal entity,LLP,False,United Kingdom
Greener Ideas,100.0,0.0,0.0,0.0,0.0,E100000001496,legal entity,,,
Greenidge Generation Holdings,11500.0,0.0,0.0,0.0,0.0,E100000002263,legal entity,LLC,False,United States
Greenleaf Energy,5000.0,0.0,0.0,0.0,0.0,E100000003115,legal entity,LLC,,
Gregory Power Holdings,199.31184,0.0,0.0,0.0,0.0,E100001016431,legal entity,LLC,False,
Gregory Power Partners,199.31184,0.0,0.0,0.0,0.0,E100000003116,legal entity,LLC,,
Grenaa Effektreserve,2500.0,0.0,0.0,0.0,0.0,E100000001497,legal entity,AS,,
Grenview Investment,1207.2,0.0,0.0,0.0,0.0,E100001016238,legal entity,Inc,False,United States
Grid Company of Lugansk People's Republic,0.0,82000.0,0.0,0.0,0.0,E100001016355,legal entity,,,Russia
Griffin Coal Mining Company,0.0,0.0,0.0,0.0,0.0,E100001013337,legal entity,Pty Ltd,False,Australia
Griffith Energy,65500.0,0.0,0.0,0.0,0.0,E100000003117,legal entity,LLC,False,United States
Grodnoenergo,31200.0,0.0,0.0,0.0,0.0,E100000003869,legal entity,RUE,,
Grosvenor,0.0,0.0,0.0,1.8894876000000003,0.0,E100001000780,arrangement,,,
Groupe Filatex,4000.0,0.0,0.0,0.0,0.0,E100001011969,legal entity,SA,False,Madagascar
Groupe IDEC,0.0,0.0,0.0,0.0,0.0,E100001012052,legal entity,SAS,False,France
Groupe Industriel Sider,0.0,0.0,0.0,0.0,314960.0,E100001000960,legal entity,SpA,False,Algeria
Großkraftwerk Mannheim,0.0,7815.08,0.0,0.0,0.0,E100000120519,legal entity,AG,False,Germany
Grup Servicii Petroliere (GSP),15500.0,0.0,0.0,0.0,0.0,E100000000850,legal entity,,,Romania
Grupa Altum,0.0,3749.815,0.0,0.0,0.0,E100001001037,legal entity,SP zoo,False,Poland
Grupa Azoty,0.0,1651.2,0.0,0.0,0.0,E100000120520,legal entity,SA,True,Poland
Grupo Acerero,0.0,0.0,0.0,0.0,195000.0,E100000130887,legal entity,SA de CV,False,Mexico
Grupo Agrisol,24320.0,0.0,0.0,0.0,0.0,E100000000149,legal entity,,,Chile
Grupo Albanesi,155040.0,0.0,0.0,0.0,0.0,E100000000010,arrangement,,,Argentina
Grupo Argos,3689.771472,0.0,0.0,0.0,0.0,E100001000262,legal entity,SA,True,Colombia
Grupo Cobra,11250.0,0.0,0.0,0.0,0.0,E100000000971,legal entity,SA,False,Spain
Grupo Córdova,0.0,0.0,0.0,0.0,9679.4355,E100001010301,arrangement,,,
Grupo Delta Energia,17700.0,0.0,0.0,0.0,0.0,E100000000072,legal entity,,,Brazil
Grupo Dislub Equador,31900.0,0.0,0.0,0.0,0.0,E100000000073,legal entity,,,Brazil
Grupo Energy Gas Panamá,1789.2678300000002,0.0,0.0,0.0,0.0,E100000003118,legal entity,,,Panama
Grupo Energía Bogotá,0.0,28.334977059498723,0.0,0.0,0.0,E100000000324,legal entity,SA ESP,True,Colombia
Grupo Ferroeste,0.0,0.0,0.0,0.0,60000.0,E100001016289,legal entity,,False,Brazil
Grupo Fonderia,0.0,0.0,0.0,0.0,195000.0,E100002000035,legal entity,SA de CV,False,Mexico
Grupo Gallardo Balboa,0.0,0.0,0.0,0.0,190000.0,E100000131060,legal entity,SL,False,Spain
Grupo Gerdau Empreendimentos,11.445588659999999,0.0,0.0,0.0,139295.48874926666,E100001016143,legal entity,Ltda,,Brazil
Grupo Idesa,4390.0,0.0,0.0,0.0,0.0,E100000000716,legal entity,,,Mexico
Grupo Industrial Crimidesa,2.8161315000000005,0.0,0.0,0.0,0.0,E100000000972,legal entity,SL,,Spain
Grupo Infra,14000.0,0.0,0.0,0.0,0.0,E100000000717,legal entity,,,Mexico
Grupo Linda,5085.0,12992.2,0.0,0.0,0.0,E100001000594,arrangement,,False,Dominican Republic
Grupo Losan,2300.0,0.0,0.0,0.0,0.0,E100000000973,legal entity,,,Spain
Grupo México,51620.00000000001,0.0,0.0,0.0,0.0,E100000000718,legal entity,SAB de CV,True,Mexico
Grupo Neoenergia,142.952199,0.0,0.0,0.0,0.0,E100000001801,legal entity,SA,True,Brazil
Grupo Romero,61600.0,0.0,0.0,0.0,0.0,E100001011317,legal entity,,,Peru
Grupo Simec,0.0,0.0,0.0,0.0,155500.0,E100000130728,legal entity,SAB de CV,True,Mexico
Grupo Taselli,14000.0,0.0,0.0,0.0,0.0,E100000000011,legal entity,,,Argentina
Grupo Terra,23695.0,0.0,0.0,0.0,0.0,E100000000478,legal entity,SA de CV,False,Honduras
Grupo USJ,0.0,0.0,12000.0,0.0,0.0,E100001000182,legal entity,,,Brazil
Grupo Vale Azul,124000.0,0.0,0.0,0.0,0.0,E100000000075,legal entity,,,Brazil
Grupo Viena,0.0,0.0,0.0,0.0,0.0,E100000130835,,,,
Grupo Zilor,0.0,0.0,30800.0,0.0,0.0,E100001000075,legal entity,,False,Brazil
Gruppo API,10000.0,0.0,0.0,0.0,0.0,E100000000616,legal entity,,,Italy
Gruppo Buffetti,4150.0,0.0,0.0,0.0,0.0,E100000000617,legal entity,SpA,,Italy
Gruppo Tea,15485.7960387,0.0,0.0,0.0,0.0,E100000000618,legal entity,,,Italy
Guam Ukudu Power,12.816274895999998,0.0,0.0,0.0,0.0,E100000003120,legal entity,LLC,,
Guang Dong Fenghua Advanced Technology (Holding),598.0,0.0,0.0,0.0,0.0,E100000124883,legal entity,Co Ltd,True,China
Guang Yang An Tai Holdings,0.0,3683.467666666666,0.0,0.0,267759.76499999996,E100000127646,legal entity,Ltd,,China
Guang Zhou Pearl River Power,0.0,64000.0,0.0,0.0,0.0,E100000121771,legal entity,Co Ltd,,China
Guang'an Siyuan Mining Group,0.0,54.127224000000005,0.0,0.0,0.0,E100000124845,legal entity,Co Ltd,,China
GuangDong Xinxing Ductile Iron Pipes,0.0,0.0,0.0,0.0,0.0,E100000127213,legal entity,Co Ltd,,China
"GuangZhou Blue Sky Gas Cogen-power Co.,Lt",54703.2,0.0,0.0,0.0,0.0,E100000003121,legal entity,,,
Guangdong Aoran Energy Development,1333.74976,0.0,0.0,0.0,0.0,E100000001498,legal entity,Co Ltd,,
Guangdong Baolihua Electric Power,0.0,347000.0,0.0,0.0,0.0,E100000121775,legal entity,Co Ltd,,China
Guangdong Baolihua New ENERGY STOCK,0.0,1147000.0,0.0,0.0,0.0,E100000123857,legal entity,Co Ltd,True,China
Guangdong Changqing (Group) Mancheng Thermal Power,0.0,13000.0,0.0,0.0,0.0,E100000121950,legal entity,Co Ltd,,China
Guangdong Chant Group,0.0,13000.0,0.0,0.0,0.0,E100000123874,legal entity,Inc,True,China
Guangdong Daguangming Group,33479.28,0.0,0.0,0.0,0.0,E100000000191,legal entity,Co Ltd,,China
Guangdong Dashun Investment Management,0.0,1800.0,0.0,0.0,0.0,E100000124625,legal entity,Co Ltd,,China
Guangdong Datang International Leizhou Power Generation,0.0,136000.0,0.0,0.0,0.0,E100000121783,legal entity,Co Ltd,,China
Guangdong Electric Power Development,954606.738,1306434.7205620797,0.0,0.0,0.0,E100000000192,legal entity,Co Ltd,True,China
Guangdong Electric Power Development,954606.738,1306434.7205620797,0.0,0.0,0.0,E100000123873,legal entity,Ltd,,China
Guangdong Energy Group,250413.624,523244.91696208005,0.0,0.0494350857,0.0,E100000003123,legal entity,Co Ltd,False,China
Guangdong Fangxia Group,0.0,1800.0,0.0,0.0,0.0,E100000123348,legal entity,Co Ltd,,China
Guangdong Foshan (Yunfu) Industrial Transfer Industrial Park Investment and Development,0.0,175.18256208,0.0,0.0,0.0,E100000125365,legal entity,Co Ltd,,China
Guangdong Golden Horse Tourism Group Stock,0.0,7264.404,0.0,0.0,0.0,E100000123845,legal entity,Co Ltd,True,China
Guangdong Guanghope Power,0.0,73735.20000000001,0.0,0.0,0.0,E100000121760,legal entity,Co Ltd,,China
Guangdong Guangqing METAL Technology,0.0,0.0,0.0,0.0,5043.945999999999,E100000126182,legal entity,Co Ltd,,China
Guangdong Guangwu Holding Group,1722.8400000000001,0.0,140.88479999999998,0.0,14369.25,E100000123746,legal entity,Co Ltd,,China
Guangdong Guangxin Holdings Group,0.0,30000.0,0.0,0.0,5043.945999999999,E100000120521,legal entity,,,China
Guangdong Guangxin Holdings Group,0.0,30000.0,0.0,0.0,5043.945999999999,E100000127962,legal entity,Ltd,,China
Guangdong Guangxin SUNTEC Investment,0.0,0.0,0.0,0.0,5043.945999999999,E100000127960,legal entity,Co Ltd,,China
Guangdong Guokun New Energy,34400.688,0.0,0.0,0.0,0.0,E100000001499,legal entity,Co Ltd,,
Guangdong Hanjian Holding,480.0,9600.0,0.0,0.0,0.0,E100000000193,legal entity,Co Ltd,,China
Guangdong Haofeng Environmental Protection Group,0.0,167.50400000000002,0.0,0.0,0.0,E100000125242,legal entity,Co Ltd,,China
Guangdong Hemu Trading,0.0,5382.4,5200.0,0.0,0.0,E100000124639,legal entity,Co Ltd,,China
Guangdong Hengjian Investment Holding,250413.624,530244.91696208,0.0,0.0494350857,0.0,E100000000194,legal entity,Co Ltd,,China
Guangdong Hongfa Environmental Investment,10800.0,0.0,0.0,0.0,0.0,E100000123256,legal entity,Co Ltd,,
Guangdong Hongye Electric Power Development,33479.28,0.0,0.0,0.0,0.0,E100000124624,legal entity,Co Ltd,,China
Guangdong Huadian Huizhou Energy,107000.0,0.0,0.0,0.0,0.0,E100000003124,legal entity,Co Ltd,,
Guangdong Huadian Pingshi Power Generation,0.0,60000.0,0.0,0.0,0.0,E100000121795,legal entity,Co Ltd,,China
Guangdong Huadian Shaoguan Thermal Power,0.0,70000.0,0.0,0.0,0.0,E100000121794,legal entity,Co Ltd,,China
Guangdong Huanfa Power Development,33479.28,0.0,0.0,0.0,0.0,E100000123887,legal entity,Co Ltd,,China
Guangdong Huaxia Power Development,480.0,9600.0,0.0,0.0,0.0,E100000121813,legal entity,Co Ltd,,China
Guangdong Huizhou Natural Gas Power Generation,107250.0,0.0,0.0,0.0,0.0,E100000003125,legal entity,Co Ltd,,
Guangdong Huizhou Pinghai Power Plant,480.0,800.0,0.0,0.0,0.0,E100000003126,legal entity,Co Ltd,,China
Guangdong Jeray Technology Group,0.0,0.0,0.0,0.0,5043.945999999999,E100000127961,legal entity,Co Ltd,,China
Guangdong Jinghe Electric Power,0.0,146088.0,0.0,0.0,0.0,E100000123509,legal entity,Co Ltd,,China
Guangdong Jingxin Development,0.0,146088.0,0.0,0.0,0.0,E100000123357,legal entity,Co Ltd,,China
Guangdong Jingxin Electric Power Group,0.0,266088.0,0.0,0.0,0.0,E100000121782,legal entity,Co Ltd,,China
Guangdong Jingye Iron and Steel,0.0,0.0,0.0,0.0,137600.0,E100000126698,legal entity,Co Ltd,,China
Guangdong Jinhai Brilliant Group,0.0,0.0,0.0,0.0,150000.0,E100000127973,legal entity,Co Ltd,,China
Guangdong Jinshenglan Metallurgical Technology,0.0,0.0,0.0,0.0,5087.9938094906765,E100000126881,legal entity,Co Ltd,,China
Guangdong Keran Energy Development,1333.74976,0.0,0.0,0.0,0.0,E100000123257,legal entity,Co Ltd,,China
Guangdong Knox Energy Technology,625.34976,0.0,0.0,0.0,0.0,E100000125001,legal entity,Co Ltd,,
Guangdong LEE&MAN Tissue Manufacturing,708.4,0.0,0.0,0.0,0.0,E100000123258,legal entity,Ltd,,China
Guangdong Lee & Man Paper Manufacturing,118.0,127.44,0.0,0.0,0.0,E100000003127,legal entity,Ltd,False,China
Guangdong Nanfang Donghai Iron and Steel,0.0,0.0,0.0,0.0,7005.6,E100000127165,legal entity,Co Ltd,,
Guangdong Nanfeng Center Group,0.0,167.50400000000002,0.0,0.0,0.0,E100000125350,legal entity,Co Ltd,,China
Guangdong Nanhai Holding Investment,2043.8999999999999,510.97499999999997,0.0,0.0,0.0,E100000001500,legal entity,Co Ltd,,
Guangdong POWER Industry Fuel,0.0,175.18256208,0.0,0.0,0.0,E100000124628,legal entity,Co Ltd,,China
Guangdong Pearl River Investment Management Group,480.0,9600.0,0.0,0.0,0.0,E100000123855,legal entity,Co Ltd,,China
Guangdong Power Grid,37007.28,2340.0,0.0,0.0,0.0,E100000124015,legal entity,Corp,,China
Guangdong Provincial Department of Finance,166319.824,66279.10834208093,140.88479999999998,0.0,19413.196,E100000125520,state body,,,
Guangdong Provincial People's Government State-owned Assets Supervision and Administration Commission,250413.624,530244.91696208,0.0,0.0494350857,0.0,E100000125565,state body,,,
Guangdong Qichuang Investment Development,0.0,52000.0,0.0,0.0,0.0,E100000123869,legal entity,Co Ltd,,China
Guangdong Red Bay Power Generation,0.0,45200.0,0.0,0.0,0.0,E100000121803,legal entity,Co Ltd,,China
Guangdong Run Innovation Energy Equity Investment Fund Partnership,0.0,0.0,411.4476,0.0,0.0,E100000129981,legal entity,LP,,China
Guangdong Rundian Environmental Protection,0.0,0.0,411.4476,0.0,0.0,E100000129793,legal entity,Co Ltd,,
Guangdong Sanxin Energy Environmental Protection,0.0,8610.0,0.0,0.0,0.0,E100000123360,legal entity,Co Ltd,,China
Guangdong Shajiao (Plant C) Power Generation,31680.0,73735.20000000001,0.0,0.0,0.0,E100000123858,legal entity,Co,,China
Guangdong Shaoguan Yuejiang Electricity Generation,0.0,167400.0,0.0,0.0,0.0,E100000121761,legal entity,Co Ltd,,China
Guangdong Shaoneng Group,0.0,0.0,33834.77445,0.0,0.0,E100000124189,legal entity,Co Ltd,True,China
Guangdong Taidu Steel Industrial,0.0,0.0,0.0,0.0,332825.0,E100000127964,legal entity,Co Ltd,,China
Guangdong Xinkong Energy,1799.2799999999997,0.0,0.0,0.0,0.0,E100000124742,legal entity,Co Ltd,,China
Guangdong Xujing Technology,1333.74976,0.0,0.0,0.0,0.0,E100000124627,legal entity,Co Ltd,,
Guangdong Yifeng Environmental Protection Technology,0.0,167.50400000000002,0.0,0.0,0.0,E100000124838,legal entity,Co Ltd,,China
Guangdong Yudean Binhai Bay Energy,210000.0,0.0,0.0,0.0,0.0,E100000003128,legal entity,Co Ltd,,
Guangdong Yudean Bohe Coal & Electrictiy,0.0,100320.00000000001,0.0,0.0,0.0,E100000121788,legal entity,Co Ltd,,China
Guangdong Yudean Dabu POWER Generation,0.0,320000.0,0.0,0.0,0.0,E100000121751,legal entity,Co Ltd,,China
Guangdong Yudean Dananhai Smart Energy,96000.0,0.0,0.0,0.0,0.0,E100000003129,legal entity,Co Ltd,,
Guangdong Yudean Dayawan Integrated Energy,12881.049999999997,0.0,0.0,0.0,0.0,E100000003130,legal entity,Co Ltd,,
Guangdong Yudean Farnon Investment,0.0,175.18256208,0.0,0.0,0.0,E100000123860,legal entity,Co Ltd,,China
Guangdong Yudean Huadu Gas Thermal Power,34400.688,0.0,0.0,0.0,0.0,E100000003131,legal entity,Co Ltd,,
Guangdong Yudean Jinghai POWER Generation,0.0,52000.0,0.0,0.0,0.0,E100000121756,legal entity,Co Ltd,,China
Guangdong Yudean Xinhui Power Generation,31680.0,0.0,0.0,0.0,0.0,E100000003132,legal entity,Co Ltd,,
Guangdong Yudean Zhongshan Thermal Power Plant,66315.624,0.0,0.0,0.0,0.0,E100000003133,legal entity,Co Ltd,,
Guangdong Yuebei United Steel,0.0,0.0,0.0,0.0,195225.0,E100000126242,legal entity,Co Ltd,,China
Guangdong Yuedian Huixin Thermal Power,6900.0,0.0,0.0,0.0,0.0,E100000003134,legal entity,Co Ltd,,
Guangdong Yuedian Qiming Energy,138000.0,0.0,0.0,0.0,0.0,E100000003135,legal entity,Co Ltd,,
Guangdong Yuedian Yongan Natural Gas Thermal Power,598.0,0.0,0.0,0.0,0.0,E100000003137,legal entity,Co Ltd,,
Guangdong Yuedian Yunhe Power Generation,8280.0,7830.0,0.0,0.0,0.0,E100000003138,legal entity,Co Ltd,,China
Guangdong Yuehua Power,74137.0,0.0,0.0,0.0,0.0,E100000003139,legal entity,Co Ltd,,China
Guangdong Yuelong Power Generation,0.0,175.18256208,0.0,0.0,0.0,E100000121787,legal entity,Co Ltd,,China
Guangdong Yunfu Land Property,8280.0,8005.18256208,0.0,0.0,0.0,E100000124475,legal entity,Co,,China
Guangdong Yusheng Investment Development,0.0,1359.45,0.0,0.0,0.0,E100000125032,legal entity,Co Ltd,,China
